budget_name,regeling,instrument,year,amount_k,prev_amount_k,yoy_growth_pct,abs_change_k,z_score,series_mean_growth_pct,series_std_growth_pct,n_years
"Onderwijs, Cultuur en Wetenschap",Dotatie/onttrekking Algemene Mediareserve,Bekostiging,2018,-30041,-463,6388.3,-29578,2.26,860.0,2442.5,8
"Onderwijs, Cultuur en Wetenschap",Commissariaat voor de Media,Bijdrage aan ZBOs en RWTs,2023,14218,5332,166.7,8886,2.21,19.3,66.7,8
"Onderwijs, Cultuur en Wetenschap",Filmfonds van de omroep en Telefilm (COBO),Bekostiging,2023,11044,2524,337.6,8520,2.21,32.1,137.9,8
"Onderwijs, Cultuur en Wetenschap",Nederlands-Vlaamse Accreditatieorganisatie (NVAO),Bijdrage aan ZBOs en RWTs,2023,11918,4258,179.9,7660,2.16,21.6,73.2,8
"Onderwijs, Cultuur en Wetenschap",Educatie,Bijdrage aan medeoverheden,2023,170894,70603,142.0,100291,2.15,16.4,58.6,8
"Onderwijs, Cultuur en Wetenschap",Nederlands Instituut voor Beeld en Geluid (NIBG),Bekostiging,2023,64182,25572,151.0,38610,2.15,15.8,62.9,8
"Onderwijs, Cultuur en Wetenschap",EMBL,Bijdrage aan (inter-)nationale organisaties,2023,13076,5654,131.3,7422,2.15,13.5,54.9,8
"Onderwijs, Cultuur en Wetenschap",Overige subsidies,Subsidies (regelingen),2019,126257,21329,491.9,104928,2.15,85.8,188.8,8
"Onderwijs, Cultuur en Wetenschap",SBB,Bijdrage aan ZBOs en RWTs,2023,164126,66683,146.1,97443,2.14,17.9,59.9,8
"Onderwijs, Cultuur en Wetenschap",Stichting Omroep Muziek,Bekostiging,2023,39954,18017,121.8,21937,2.14,13.0,50.7,8
"Onderwijs, Cultuur en Wetenschap",Bekostiging vavo,Bekostiging,2023,160376,72147,122.3,88229,2.14,13.4,50.9,8
"Onderwijs, Cultuur en Wetenschap",NWO,Bekostiging,2023,1179610,508478,132.0,671132,2.12,13.8,55.8,8
"Onderwijs, Cultuur en Wetenschap",Mediawijsheid Expertisecentr (Bewust mediagebruik),Bekostiging,2023,3658,1714,113.4,1944,2.12,12.0,47.9,8
"Onderwijs, Cultuur en Wetenschap",CERN,Bijdrage aan (inter-)nationale organisaties,2023,122820,53601,129.1,69219,2.11,12.5,55.3,8
"Onderwijs, Cultuur en Wetenschap",Regionale Omroep,Bekostiging,2023,357936,162894,119.7,195042,2.11,12.4,50.9,8
Provinciefonds,Algemene uitkering,Bijdrage aan medeoverheden,2023,6101034,2767684,120.4,3333350,2.11,15.7,49.7,8
"Onderwijs, Cultuur en Wetenschap",KB,Bekostiging,2022,120795,50956,137.1,69839,2.1,16.7,57.4,8
"Onderwijs, Cultuur en Wetenschap",Uitvoering internat. verdragen en contributies,Bijdrage aan (inter-)nationale organisaties,2023,156,73,113.7,83,2.09,12.6,48.5,8
"Onderwijs, Cultuur en Wetenschap",Landelijke publieke omroep,Bekostiging,2023,1914094,852640,124.5,1061454,2.09,12.6,53.4,8
"Onderwijs, Cultuur en Wetenschap",KNAW,Bekostiging,2023,213266,100842,111.5,112424,2.09,10.9,48.1,8
"Onderwijs, Cultuur en Wetenschap",Rijksdienst voor Ondernemend Nederland,Bijdrage aan agentschappen,2023,6206,2574,141.1,3632,2.09,17.6,59.0,8
"Onderwijs, Cultuur en Wetenschap",OESO CERI,Bijdrage aan (inter-)nationale organisaties,2023,178,85,109.4,93,2.08,10.9,47.3,8
"Onderwijs, Cultuur en Wetenschap",ZBO: College voor Toetsen en Examens,Bijdrage aan ZBOs en RWTs,2023,25806,12442,107.4,13364,2.08,9.7,47.0,8
"Onderwijs, Cultuur en Wetenschap",Overige bekostiging media (uit rente AMR),Bekostiging,2023,1066,477,123.5,589,2.07,12.2,53.7,8
"Onderwijs, Cultuur en Wetenschap",ESA,Bijdrage aan (inter-)nationale organisaties,2023,70674,34289,106.1,36385,2.07,9.7,46.6,8
"Onderwijs, Cultuur en Wetenschap",Poolonderzoek,Bekostiging,2023,6294,3147,100.0,3147,2.06,7.1,45.0,8
"Onderwijs, Cultuur en Wetenschap",NWO Talentenontwikkeling,Bekostiging,2023,331770,165884,100.0,165886,2.05,7.6,45.0,8
"Onderwijs, Cultuur en Wetenschap",Organisatie van Lokale Omroepen Nederland (OLON),Bekostiging,2023,3778,1759,114.8,2019,2.04,21.4,45.8,7
"Onderwijs, Cultuur en Wetenschap",Kust en zeeonderzoek,Bekostiging,2023,5000,2500,100.0,2500,2.04,16.7,40.8,7
"Onderwijs, Cultuur en Wetenschap",Europa College Brugge,Bijdrage aan (inter-)nationale organisaties,2023,60,30,100.0,30,2.04,16.7,40.8,7
Binnenlandse Zaken en Koninkrijksrelaties,Logius,Bijdrage aan agentschappen,2023,573134,58724,876.0,514410,2.04,138.3,362.2,7
"Onderwijs, Cultuur en Wetenschap",Regionaal Investeringsfonds,Bekostiging,2023,43212,21720,99.0,21492,2.01,7.5,45.6,8
Binnenlandse Zaken en Koninkrijksrelaties,RvIG,Bijdrage aan agentschappen,2019,45465,5917,668.4,39548,2.01,115.3,275.7,7
